state,year,sector,sales_mwh,revenue_$,price_per_kwh
AK,2024,industrial,130040,14392100,0.11067441
AK,2024,industrial,52775,7514700,0.14239127999999998
AK,2024,industrial,819779,179535300,0.21900451
AK,2024,industrial,150301,18653400,0.12410696
AK,2024,industrial,22752,2361100,0.10377549
AK,2024,industrial,84636,14128000,0.1669266
AL,2024,industrial,20504435,1631001000,0.079543816
AL,2024,industrial,333519,21329000,0.063951379
AL,2024,industrial,4003,370000,0.092430677
AL,2024,industrial,3695,364900,0.098755074
AL,2024,industrial,8952,1088000,0.12153708999999999
AL,2024,industrial,29752,3137000,0.10543829
AL,2024,industrial,218731,13226000,0.060466966
AL,2024,industrial,463426,32055000,0.069169619
AL,2024,industrial,9433,712000,0.075479699
AL,2024,industrial,166069,12518000,0.075378307
AL,2024,industrial,117919,7239000,0.061389598000000004
AL,2024,industrial,28737,1765000,0.061419075999999996
AL,2024,industrial,466766,33338000,0.071423368
AL,2024,industrial,102752,7767000,0.07558977
AL,2024,industrial,22776,2352000,0.1032666
AL,2024,industrial,26048,1773000,0.068066646
AL,2024,industrial,96370,6671000,0.069222787
AL,2024,industrial,6490,480000,0.073959938
AL,2024,industrial,317249,20022000,0.06311131
AL,2024,industrial,11731,1465000,0.12488279000000001
AL,2024,industrial,21231,2631000,0.12392257000000001
AL,2024,industrial,66364,8551000,0.12884998
AL,2024,industrial,23724,2229800,0.093989209
AL,2024,industrial,274103,21828000,0.079634298
AL,2024,industrial,19807,1908000,0.09632958
AL,2024,industrial,532532,31357000,0.058882846
AL,2024,industrial,100948,10980000,0.10876887
AL,2024,industrial,45973,4446000,0.096708938
AL,2024,industrial,79431,6347000,0.07990583
AL,2024,industrial,45050,3471000,0.077047725
AL,2024,industrial,84609,6985000,0.082556229
AL,2024,industrial,872520,52702000,0.060402054
AL,2024,industrial,30154,2721000,0.090236785
AL,2024,industrial,145448,7232000,0.049722238
AL,2024,industrial,20008,1775000,0.088714514
AL,2024,industrial,67617,5673000,0.083899019
AL,2024,industrial,319756,17700000,0.055354707999999996
AL,2024,industrial,153956,17011000,0.11049260999999999
AL,2024,industrial,40406,4223000,0.10451418
AL,2024,industrial,141563,15139500,0.10694532000000001
AL,2024,industrial,5355914,247093500,0.046134703000000006
AR,2024,industrial,280289,16641900.000000002,0.059374075
AR,2024,industrial,15968,1569000,0.098259018
AR,2024,industrial,364278,27686000,0.076002394
AR,2024,industrial,577644,29367000,0.050839271000000005
AR,2024,industrial,39037,2993000,0.076670851
AR,2024,industrial,44823,4256000,0.094951253
AR,2024,industrial,322557,31745000,0.098416714
AR,2024,industrial,196645,15995000,0.08133947
AR,2024,industrial,125626,15705000,0.12501393
AR,2024,industrial,116217,7982800,0.068688746
AR,2024,industrial,92833,7938000,0.085508386
AR,2024,industrial,277336,18092000,0.06523495
AR,2024,industrial,71433,9790000,0.1370515
AR,2024,industrial,83712,6106500,0.072946531
AR,2024,industrial,9932422,632141600,0.063644255
AR,2024,industrial,505212,38310000,0.075829553
AR,2024,industrial,3129990,159029000,0.05080815
AR,2024,industrial,97849,7856800,0.080295149
AR,2024,industrial,1055315,73086000,0.069255151
AR,2024,industrial,118382,10796000,0.091196297
AR,2024,industrial,125576,11988000,0.095464101
AR,2024,industrial,290890,20974000,0.072102857
AR,2024,industrial,15440,2184000,0.14145078
AR,2024,industrial,109945,8571000,0.07795716
AR,2024,industrial,186236,13985000,0.075092893
AR,2024,industrial,1075933,72490300,0.067374363
AR,2024,industrial,104725,22703800,0.21679446
AZ,2024,industrial,1127,155400,0.1378882
AZ,2024,industrial,2051331,209390600,0.10207548
AZ,2024,industrial,61078,6210000,0.10167327
AZ,2024,industrial,222524,11621200,0.052224479
AZ,2024,industrial,391510,23288000,0.059482516
AZ,2024,industrial,91312,8203299.999999999,0.089838137
AZ,2024,industrial,2702496,123443600,0.045677625
AZ,2024,industrial,79935,6362000,0.079589667
AZ,2024,industrial,104004,10577000,0.10169800999999999
AZ,2024,industrial,4491678,346996000,0.077253089
AZ,2024,industrial,47879,5737000,0.11982289
AZ,2024,industrial,45234,3933700,0.086963346
AZ,2024,industrial,3029758,302414000,0.099814573
AZ,2024,industrial,114290,13686400,0.11975151
AZ,2024,industrial,6386,1002000,0.15690573
AZ,2024,industrial,216819,4193500,0.019341017000000002
CA,2024,industrial,17623,3689000,0.20932872
CA,2024,industrial,69575,16466800,0.23667697000000001
CA,2024,industrial,819612,127256000,0.15526371
CA,2024,industrial,61391,10455000,0.17030183999999998
CA,2024,industrial,153120,27500600,0.17960162000000002
CA,2024,industrial,27932,3232900,0.1157418
CA,2024,industrial,22759,5104200,0.22427171999999998
CA,2024,industrial,117724,18178900,0.15441966000000001
CA,2024,industrial,15208,3621000,0.23809837
CA,2024,industrial,115063,21843000,0.18983513
CA,2024,industrial,12638,2531000,0.20026903000000001
CA,2024,industrial,928560,136098000,0.14656888
CA,2024,industrial,190320,24554800,0.1290185
CA,2024,industrial,4309793,651648200,0.15120174
CA,2024,industrial,140150,23466500,0.16743846
CA,2024,industrial,638818,105950500,0.16585397000000002
CA,2024,industrial,1059,148200,0.13994334
CA,2024,industrial,88354,18371000,0.20792494
CA,2024,industrial,1049637,216919000,0.20666097
CA,2024,industrial,167623,26091700,0.15565704
CA,2024,industrial,808929,99166800,0.12259024
CA,2024,industrial,134944,21291400,0.15777952
CA,2024,industrial,7835738,2597539000,0.33149896
CA,2024,industrial,1549024,208942200,0.13488635000000002
CA,2024,industrial,545010,143087500,0.26254105
CA,2024,industrial,3271801,673107000,0.20572980999999999
CA,2024,industrial,59888,7136200,0.1191591
CA,2024,industrial,863283,109861000,0.12725954
CA,2024,industrial,9010,1053700,0.11694784
CA,2024,industrial,1856379,53847700,0.029006846
CO,2024,industrial,351971,34814000,0.098911558
CO,2024,industrial,64652,6057000,0.093686197
CO,2024,industrial,1811428,165911000,0.091591275
CO,2024,industrial,453613,38469900,0.084807755
CO,2024,industrial,74720,6501200,0.087007495
CO,2024,industrial,136584,12141800,0.08889621
CO,2024,industrial,328791,32394800,0.098527028
CO,2024,industrial,118410,10860900,0.091722827
CO,2024,industrial,320361,22918700,0.071540231
CO,2024,industrial,11598,1399000,0.12062424999999999
CO,2024,industrial,161661,17191400,0.10634228
CO,2024,industrial,293349,30921100,0.10540721
CO,2024,industrial,66272,6631000,0.10005734000000001
CO,2024,industrial,77042,8561300,0.1111251
CO,2024,industrial,309449,24757000,0.08000349
CO,2024,industrial,449468,34711100,0.077227077
CO,2024,industrial,146336,18153400,0.12405286
CO,2024,industrial,41723,3532000,0.084653548
CO,2024,industrial,138797,11898400,0.085725196
CO,2024,industrial,593532,43397900,0.073118046
